id,source,family,base_rate,base_rate_pct,base_rate_se,description,dl_bits,program
Halves_both_has_pair_ranks,template,HALVES_PROPERTY,0.03006,3.01,0.000764,Both halves satisfy has_pair_ranks,,λh. has_pair_ranks(L(h)) ∧ has_pair_ranks(R(h))
(λ gt (n_unique_suits (first_half $0)) (rank_val (last $0))),grammar,ENUMERATED,0.0307,3.07,0.001725,Enumerated program (DL=30.6408 bits),30.6408,(λ gt (n_unique_suits (first_half $0)) (rank_val (last $0)))
(λ gt (n_unique_suits (second_half $0)) (rank_val (last $0)),grammar,ENUMERATED,0.0317,3.17,0.001752,Enumerated program (DL=30.6408 bits),30.6408,(λ gt (n_unique_suits (second_half $0)) (rank_val (last $0)))
(λ has_color (drop (n_unique_suits $0) (first_half $0)) RED),grammar,ENUMERATED,0.0326,3.26,0.001776,Enumerated program (DL=30.4481 bits),30.4481,(λ has_color (drop (n_unique_suits $0) (first_half $0)) RED)
adj_alt_color,template,ADJACENT,0.03368,3.37,0.000807,Every pair at offset 1 satisfies alt_color,,"λh. ∀i. alt_color(h[i], h[i+1])"
Palindrome_mod3,template,PALINDROME,0.0337,3.37,0.000807,The sequence of mod3 values is a palindrome,,"λh. map(mod3, h) = reverse(map(mod3, h))"
(λ le (sum_ranks (first_half $0)) (max_rank $0)),grammar,ENUMERATED,0.0337,3.37,0.001805,Enumerated program (DL=28.6408 bits),28.6408,(λ le (sum_ranks (first_half $0)) (max_rank $0))
Halves_copy_mod3,template,HALVES_COPY,0.03486,3.49,0.00082,Right half copies left half in mod3,,"λh. map(mod3, L(h)) = map(mod3, R(h))"
(λ le (sum_ranks (second_half $0)) (max_rank $0)),grammar,ENUMERATED,0.0361,3.61,0.001865,Enumerated program (DL=28.6408 bits),28.6408,(λ le (sum_ranks (second_half $0)) (max_rank $0))
(λ has_color (drop (n_unique_suits $0) (second_half $0)) BLA,grammar,ENUMERATED,0.0373,3.73,0.001895,Enumerated program (DL=30.4481 bits),30.4481,(λ has_color (drop (n_unique_suits $0) (second_half $0)) BLACK)
Halves_both_is_sorted_asc,template,HALVES_PROPERTY,0.0384,3.84,0.000859,Both halves satisfy is_sorted_asc,,λh. is_sorted_asc(L(h)) ∧ is_sorted_asc(R(h))
rank_range_le_5,template,GLOBAL,0.03848,3.85,0.00086,Rank range (max - min) is at most 5,,λh. max_rank(h) - min_rank(h) ≤ 5
(λ ge (n_unique_colors (first_half $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.0392,3.92,0.001941,Enumerated program (DL=28.6408 bits),28.6408,(λ ge (n_unique_colors (first_half $0)) (n_unique_suits $0))
(λ ge (n_unique_colors (second_half $0)) (n_unique_suits $0),grammar,ENUMERATED,0.0394,3.94,0.001945,Enumerated program (DL=28.6408 bits),28.6408,(λ ge (n_unique_colors (second_half $0)) (n_unique_suits $0))
(λ gt (count_suit (take 4 $0) DIAMONDS) 2),grammar,ENUMERATED,0.04,4.0,0.00196,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 4 $0) DIAMONDS) 2)
(λ gt (count_suit $0 DIAMONDS) (n_unique_suits $0)),grammar,ENUMERATED,0.0401,4.01,0.001962,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 DIAMONDS) (n_unique_suits $0))
skip2_rank_nondec,template,ADJACENT,0.04022,4.02,0.000879,Every pair at offset 2 satisfies rank_nondec,,"λh. ∀i. rank_nondec(h[i], h[i+2])"
shift_2_rank_ge,template,SHIFT,0.0404,4.04,0.000881,At offset 2: rank_ge,,"λh. ∀i. rank_ge(h[i], h[i+2])"
(λ lt (- (max_rank $0) 5) 5),grammar,ENUMERATED,0.0411,4.11,0.001985,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (- (max_rank $0) 5) 5)
(λ gt (count_suit $0 HEARTS) (n_unique_suits $0)),grammar,ENUMERATED,0.0425,4.25,0.002017,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 HEARTS) (n_unique_suits $0))
(λ gt (count_suit $0 CLUBS) (n_unique_suits $0)),grammar,ENUMERATED,0.0426,4.26,0.00202,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 CLUBS) (n_unique_suits $0))
(λ lt (n_unique_suits (first_half $0)) (n_unique_colors $0)),grammar,ENUMERATED,0.0433,4.33,0.002035,Enumerated program (DL=28.6408 bits),28.6408,(λ lt (n_unique_suits (first_half $0)) (n_unique_colors $0))
(λ gt (count_suit (drop 2 $0) SPADES) 2),grammar,ENUMERATED,0.0438,4.38,0.002046,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 2 $0) SPADES) 2)
(λ gt (count_suit $0 SPADES) (n_unique_suits $0)),grammar,ENUMERATED,0.0439,4.39,0.002049,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 SPADES) (n_unique_suits $0))
(λ gt (count_suit (drop 2 $0) DIAMONDS) 2),grammar,ENUMERATED,0.0439,4.39,0.002049,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 2 $0) DIAMONDS) 2)
(λ gt (count_suit (take 4 $0) HEARTS) 2),grammar,ENUMERATED,0.0441,4.41,0.002053,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 4 $0) HEARTS) 2)
(λ gt (count_suit (take 4 $0) SPADES) 2),grammar,ENUMERATED,0.0443,4.43,0.002058,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 4 $0) SPADES) 2)
(λ gt (count_suit (drop 2 $0) CLUBS) 2),grammar,ENUMERATED,0.0447,4.47,0.002066,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 2 $0) CLUBS) 2)
(λ gt (count_suit (drop 2 $0) HEARTS) 2),grammar,ENUMERATED,0.045,4.5,0.002073,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 2 $0) HEARTS) 2)
